Place_lo,Place_hi,Payout
1,1,50000.00
2,2,25000.00
3,3,15000.00
4,4,10000.00
5,5,7500.00
6,6,5000.00
7,8,3000.00
9,10,2000.00
11,15,1500.00
16,25,1000.00
26,35,750.00
36,50,500.00
51,75,400.00
76,100,300.00
101,150,200.00
151,200,150.00
201,250,100.00
251,350,75.00
351,450,60.00
451,750,50.00
751,1250,40.00
1251,2000,35.00
2001,3000,30.00
3001,5000,25.00
5001,8000,20.00
8001,11000,15.00
11001,14000,12.00
14001,20000,10.00
20001,26000,9.00
26001,38500,8.00
38501,53500,7.00
53501,83500,6.00
83501,135550,5.00
