"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","LeBron James",11700,"CLE@ATL 11/30/2017 07:30PM ET",56.167,"CLE"
"SF/PF","Giannis Antetokounmpo",11100,"MIL@POR 11/30/2017 10:00PM ET",55.236,"MIL"
"C","Joel Embiid",9500,"PHI@BOS 11/30/2017 07:30PM ET",45.559,"PHI"
"PG/SF","Ben Simmons",9300,"PHI@BOS 11/30/2017 07:30PM ET",45.736,"PHI"
"C","Nikola Jokic",9100,"CHI@DEN 11/30/2017 09:00PM ET",40.925,"DEN"
"PG","Damian Lillard",8500,"MIL@POR 11/30/2017 10:00PM ET",44.381,"POR"
"PF/C","Blake Griffin",8500,"UTA@LAC 11/30/2017 10:30PM ET",43.763,"LAC"
"PG","Kyrie Irving",8400,"PHI@BOS 11/30/2017 07:30PM ET",38.452,"BOS"
"PF/C","Kevin Love",8000,"CLE@ATL 11/30/2017 07:30PM ET",37.286,"CLE"
"PG","Dennis Schroder",7500,"CLE@ATL 11/30/2017 07:30PM ET",35.014,"ATL"
"C","Rudy Gobert",7500,"UTA@LAC 11/30/2017 10:30PM ET",35.042,"UTA"
"PG/SG","Lou Williams",7300,"UTA@LAC 11/30/2017 10:30PM ET",30.092,"LAC"
"C","DeAndre Jordan",7100,"UTA@LAC 11/30/2017 10:30PM ET",31.632,"LAC"
"PG/SG","Donovan Mitchell",6900,"UTA@LAC 11/30/2017 10:30PM ET",27.238,"UTA"
"PF/C","Al Horford",6800,"PHI@BOS 11/30/2017 07:30PM ET",34.163,"BOS"
"PG/SG","Eric Bledsoe",6800,"MIL@POR 11/30/2017 10:00PM ET",31.875,"MIL"
"PG/SG","C.J. McCollum",6700,"MIL@POR 11/30/2017 10:00PM ET",33.913,"POR"
"C","Jusuf Nurkic",6700,"MIL@POR 11/30/2017 10:00PM ET",30.595,"POR"
"PG","Isaiah Thomas",6600,"CLE@ATL 11/30/2017 07:30PM ET",0,"CLE"
"PF/C","Derrick Favors",6600,"UTA@LAC 11/30/2017 10:30PM ET",26.464,"UTA"
"SG/SF","Khris Middleton",6500,"MIL@POR 11/30/2017 10:00PM ET",34.895,"MIL"
"PF/C","Paul Millsap",6500,"CHI@DEN 11/30/2017 09:00PM ET",31.828,"DEN"
"SG/SF","Will Barton",6500,"CHI@DEN 11/30/2017 09:00PM ET",27.838,"DEN"
"PF","Lauri Markkanen",6400,"CHI@DEN 11/30/2017 09:00PM ET",30.092,"CHI"
"SF/PF","Robert Covington",6200,"PHI@BOS 11/30/2017 07:30PM ET",30.632,"PHI"
"SG/SF","Jaylen Brown",6100,"PHI@BOS 11/30/2017 07:30PM ET",28.357,"BOS"
"PG/SG","Kris Dunn",6000,"CHI@DEN 11/30/2017 09:00PM ET",27.033,"CHI"
"SF/PF","Jayson Tatum",5900,"PHI@BOS 11/30/2017 07:30PM ET",26.239,"BOS"
"SG/SF","Justin Holiday",5800,"CHI@DEN 11/30/2017 09:00PM ET",27.806,"CHI"
"SG/SF","Denzel Valentine",5800,"CHI@DEN 11/30/2017 09:00PM ET",24.395,"CHI"
"PG","Ricky Rubio",5700,"UTA@LAC 11/30/2017 10:30PM ET",27.888,"UTA"
"SG/SF","Rodney Hood",5700,"UTA@LAC 11/30/2017 10:30PM ET",25.986,"UTA"
"SF","Danilo Gallinari",5700,"UTA@LAC 11/30/2017 10:30PM ET",24.806,"LAC"
"PG/SG","Dwyane Wade",5600,"CLE@ATL 11/30/2017 07:30PM ET",24.188,"CLE"
"SG","Gary Harris",5600,"CHI@DEN 11/30/2017 09:00PM ET",26.153,"DEN"
"PF/C","John Collins",5500,"CLE@ATL 11/30/2017 07:30PM ET",24.025,"ATL"
"PG/SG","Austin Rivers",5500,"UTA@LAC 11/30/2017 10:30PM ET",24.316,"LAC"
