Place_lo,Place_hi,Payout
1,1,1000000.00
2,2,100000.00
3,3,50000.00
4,4,25000.00
5,5,15000.00
6,6,10000.00
7,8,7500.00
9,10,5000.00
11,15,4000.00
16,20,3000.00
21,25,2000.00
26,30,1500.00
31,40,1000.00
41,50,750.00
51,75,600.00
76,100,500.00
101,150,400.00
151,200,300.00
201,300,250.00
301,400,200.00
401,500,150.00
501,750,125.00
751,1000,100.00
1001,1500,80.00
1501,2000,60.00
2001,3000,50.00
3001,4000,40.00
4001,5000,30.00
5001,7000,25.00
7001,9000,20.00
9001,12000,15.00
12001,17000,12.00
17001,27000,10.00
27001,50000,9.00
50001,85000,8.00
85001,150000,7.00
150001,285000,6.00
285001,542850,5.00
