Place_lo,Place_hi,Payout
1,1,50000.00
2,2,25000.00
3,3,15000.00
4,4,10000.00
5,5,7500.00
6,6,5000.00
7,8,3000.00
9,10,2000.00
11,15,1500.00
16,25,1000.00
26,35,750.00
36,50,500.00
51,75,400.00
76,100,300.00
101,150,200.00
151,200,150.00
201,250,100.00
251,350,75.00
351,500,60.00
501,750,50.00
751,1000,40.00
1001,1500,35.00
1501,2000,30.00
2001,3000,25.00
3001,5000,20.00
5001,7500,15.00
7501,10000,12.00
10001,15000,10.00
15001,20000,9.00
20001,30000,8.00
30001,42000,7.00
42001,65000,6.00
65001,105800,5.00
