"LeBron James_CLE","Giannis Antetokounmpo_MIL","Joel Embiid_PHI","Ben Simmons_PHI","Nikola Jokic_DEN","Damian Lillard_POR","Blake Griffin_LAC","Kyrie Irving_BOS","Kevin Love_CLE","Dennis Schroder_ATL","Rudy Gobert_UTA","Lou Williams_LAC","DeAndre Jordan_LAC","Donovan Mitchell_UTA","Al Horford_BOS","Eric Bledsoe_MIL","CJ McCollum_POR","Jusuf Nurkic_POR","Isaiah Thomas_CLE","Derrick Favors_UTA","Khris Middleton_MIL","Paul Millsap_DEN","Will Barton_DEN","Lauri Markkanen_CHI","Robert Covington_PHI","Jaylen Brown_BOS","Kris Dunn_CHI","Jayson Tatum_BOS","Justin Holiday_CHI","Denzel Valentine_CHI","Ricky Rubio_UTA","Rodney Hood_UTA","Danilo Gallinari_LAC","Dwyane Wade_CLE","Gary Harris_DEN","John Collins_ATL","Austin Rivers_LAC","Kent Bazemore_ATL","Marcus Smart_BOS","Dewayne Dedmon_ATL","Jabari Parker_MIL","JJ Redick_PHI","Malcolm Brogdon_MIL","Jamal Murray_DEN","Bobby Portis_CHI","Nikola Mirotic_CHI","Patrick Beverley_LAC","Dario Saric_PHI","Robin Lopez_CHI","Joe Ingles_UTA","Taurean Prince_ATL","Wilson Chandler_DEN","TJ McConnell_PHI","Marcus Morris_BOS","John Henson_MIL","Zach LaVine_CHI","Al-Farouq Aminu_POR","Jerian Grant_CHI","Wesley Johnson_LAC","Kenneth Faried_DEN","Marco Belinelli_ATL","JR Smith_CLE","Terry Rozier_BOS","Richaun Holmes_PHI","Noah Vonleh_POR","David Nwaba_CHI","Jonas Jerebko_UTA","Milos Teodosic_LAC","Jae Crowder_CLE","Evan Turner_POR","Emmanuel Mudiay_DEN","Thabo Sefolosha_UTA","Jeff Green_CLE","Derrick Rose_CLE","Tristan Thompson_CLE","Markelle Fultz_PHI","Amir Johnson_PHI","Tony Snell_MIL","Thon Maker_MIL","Luke Babbitt_ATL","Ersan Ilyasova_ATL","Juancho Hernangomez_DEN","Kyle Korver_CLE","Shabazz Napier_POR","Alec Burks_UTA","Joe Johnson_UTA","Iman Shumpert_CLE","Mike Muscala_ATL","Aron Baynes_BOS","Maurice Harkless_POR","DeAndre Liggins_MIL","Caleb Swanigan_POR","Mason Plumlee_DEN","Paul Zipser_CHI","Trey Lyles_DEN","Montrezl Harrell_LAC","Sam Dekker_LAC","Malcolm Delaney_ATL","Channing Frye_CLE","Jerryd Bayless_PHI","Daniel Theis_BOS","Pat Connaughton_POR","Isaiah Taylor_ATL","Tyler Cavanaugh_ATL","Ed Davis_POR","DeAndre' Bembry_ATL","Ante Zizic_CLE","Timothe Luwawu-Cabarrot_PHI","Semi Ojeleye_BOS","Shane Larkin_BOS","Matthew Dellavedova_MIL","Mirza Teletovic_MIL","Meyers Leonard_POR","Sindarius Thornwell_LAC","Raul Neto_UTA","Antonio Blakeney_CHI","Jose Calderon_CLE","Josh Magette_ATL","Tyler Dorsey_ATL","Cedi Osman_CLE","Nicolas Brussino_ATL","John Holland_CLE","London Perrantes_CLE","Miles Plumlee_ATL","Justin Anderson_PHI","Jahlil Okafor_PHI","Abdel Nader_BOS","Guerschon Yabusele_BOS","Furkan Korkmaz_PHI","Nik Stauskas_PHI","Gordon Hayward_BOS","Jacob Pullen_PHI","James Michael McAdoo_PHI","Jabari Bird_BOS","Kadeem Allen_BOS","Gary Payton II_MIL","Rashad Vaughn_MIL","DJ Wilson_MIL","Zach Collins_POR","Jake Layman_POR","Sterling Brown_MIL","Jason Terry_MIL","Wade Baldwin IV_POR","Joel Bolomboy_MIL","CJ Wilcox_POR","Cristiano Felicio_CHI","Kay Felder_CHI","Malik Beasley_DEN","Quincy Pondexter_CHI","Richard Jefferson_DEN","Ryan Arcidiacono_CHI","Darrell Arthur_DEN","Torrey Craig_DEN","Tyler Lydon_DEN","Monte Morris_DEN","Cameron Payne_CHI","Ekpe Udoh_UTA","Willie Reed_LAC","Jawun Evans_LAC","Royce O'Neale_UTA","CJ Williams_LAC","Brice Johnson_LAC","Tony Bradley_UTA","Jamil Wilson_LAC","Nate Wolters_UTA","Dante Exum_UTA","Eric Griffin_UTA"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
