"Contest_ID","Contest_Name","Contest_Date","Max_Entry","Entry_Fee","Slate","Contest_Size"
50018212,"NBA $250K West Coast Special [$50K to 1st] (Night)",2017-11-27,150,"$8.00","Mon 1030PM",36764
50054649,"NBA $400K Alley Oop [$100K to 1st]",2017-11-28,24,"$555.00","Tue 700PM",800
50054761,"NBA $450K Excellent 8’s [$50K to 1st!]",2017-11-28,150,"$8.00","Tue 700PM",66176
50054686,"NBA $215K Triple Threat",2017-11-28,150,"$33.00","Tue 700PM",7597
50054790,"NBA $150K Sharpshooter [20 Entry Max]",2017-11-28,20,"$3.00","Tue 700PM",59453
50035423,"NBA GIANT $5 Double Up",2017-11-28,100,"$5.00","Tue 700PM",5747
50035429,"NBA GIANT $25 Double Up",2017-11-28,48,"$25.00","Tue 700PM",1609
50035428,"NBA $10 Double Up",2017-11-28,51,"$10.00","Tue 700PM",1724
50035447,"NBA $200K King of San Antonio Qualifier #9",2017-11-28,15,"$20.00","Tue 700PM",528
50036344,"NBA SUPERSatellite to $3.15M Fantasy Football Millionaire [200x]",2017-11-28,23,"$6.00","Tue 700PM",784
50054800,"NBA $30K And-One [20 Entry Max]",2017-11-28,20,"$1.00","Tue 700PM",35671
50035430,"NBA $2 Double Up",2017-11-28,20,"$2.00","Tue 700PM",4597
50035424,"NBA GIANT $5 Double Up",2017-11-28,137,"$5.00","Tue 700PM",4597
50035441,"NBA $10K Dunk [20 Entry Max]",2017-11-28,20,"$3.00","Tue 700PM",3963
50028390,"NBA $15K And-One (Night)",2017-11-28,20,"$1.00","Tue 1000PM",17835
50028389,"NBA $3K Sharpshooter (Night)",2017-11-28,20,"$3.00","Tue 1000PM",1189
50035440,"NBA $1K Quarter Jukebox [Just $0.25!]",2017-11-28,20,"$0.25","Tue 700PM",4756
50036346,"NBA SUPERSatellite to $3.15M Fantasy Football Millionaire [30x]",2017-11-28,20,"$0.25","Tue 700PM",2853
50028388,"NBA $2K Layup (Night)",2017-11-28,20,"$2.00","Tue 1000PM",1189
50028383,"NBA $3K Quarter Jukebox [Just $0.25!] (Night)",2017-11-28,20,"$0.25","Tue 1000PM",14268
50124359,"NBA $600K Mini Backboard Breaker [$100K to 1st!]",2017-11-29,150,"$8.88","Wed 700PM",79491
50124197,"NBA $555K Backboard Breaker [$100K to 1st!]",2017-11-29,41,"$444.00","Wed 700PM",1388
50124273,"NBA $250K Medium Backboard Breaker",2017-11-29,150,"$44.00","Wed 700PM",6626
50124358,"NBA $130K Sharpshooter [20 Entry Max]",2017-11-29,20,"$3.00","Wed 700PM",51525
50124356,"NBA $35K And-One [20 Entry Max]",2017-11-29,20,"$1.00","Wed 700PM",41617
50105993,"NBA GIANT $5 Double Up",2017-11-29,100,"$5.00","Wed 700PM",6896
50105998,"NBA GIANT $25 Double Up",2017-11-29,55,"$25.00","Wed 700PM",1839
50105995,"NBA $10 Double Up",2017-11-29,51,"$10.00","Wed 700PM",1724
50105999,"NBA $2 Double Up",2017-11-29,20,"$2.00","Wed 700PM",4597
50105992,"NBA GIANT $5 Double Up",2017-11-29,100,"$5.00","Wed 700PM",5747
50106008,"NBA $10K Quarter Jukebox [Just $0.25!]",2017-11-29,20,"$0.25","Wed 700PM",47562
50103674,"NBA $7.5K And-One (Night)",2017-11-29,20,"$1.00","Wed 830PM",8917
50103675,"NBA $3K Sharpshooter (Night)",2017-11-29,20,"$3.00","Wed 830PM",1189
50108273,"NBA SUPERSatellite to $3.15M Fantasy Football Millionaire [200x]",2017-11-29,23,"$6.00","Wed 700PM",784
50103515,"NBA $5K And-One (Turbo)",2017-11-29,20,"$1.00","Wed 730PM",5945
50103516,"NBA $3K Sharpshooter (Turbo)",2017-11-29,20,"$3.00","Wed 730PM",1189
50103673,"NBA $2K Layup (Night)",2017-11-29,20,"$2.00","Wed 830PM",1189
50103672,"NBA $2.5K Quarter Jukebox [Just $0.25!] (Night)",2017-11-29,20,"$0.25","Wed 830PM",11890
50103510,"NBA $1.5K Layup (Turbo)",2017-11-29,20,"$2.00","Wed 730PM",891
50103514,"NBA $2K Quarter Jukebox [Just $0.25!] (Turbo)",2017-11-29,20,"$0.25","Wed 730PM",9512
50108275,"NBA SUPERSatellite to $3.15M Fantasy Football Millionaire [30x]",2017-11-29,20,"$0.25","Wed 700PM",2853
50108292,"NBA Holiday Classic SUPERSat [20x]",2017-11-29,20,"$0.25","Wed 700PM",760
50209402,"NBA $200K Triple Threat",2017-11-30,150,"$33.00","Thu 730PM",7067
50209422,"NBA $30K And-One [20 Entry Max]",2017-11-30,20,"$1.00","Thu 730PM",35671
50185023,"NBA GIANT $5 Double Up",2017-11-30,137,"$5.00","Thu 730PM",4597
50185027,"NBA GIANT $25 Double Up",2017-11-30,41,"$25.00","Thu 730PM",1379
50185026,"NBA $10 Double Up",2017-11-30,41,"$10.00","Thu 730PM",1379
50185038,"NBA $10K Dunk [20 Entry Max]",2017-11-30,20,"$3.00","Thu 730PM",3963
50188597,"NBA $12.5K And-One (Night)",2017-11-30,20,"$1.00","Thu 1000PM",14863
50188596,"NBA $3K Sharpshooter (Night)",2017-11-30,20,"$3.00","Thu 1000PM",1189
50185028,"NBA $2 Double Up",2017-11-30,20,"$2.00","Thu 730PM",4597
50185022,"NBA GIANT $5 Double Up",2017-11-30,137,"$5.00","Thu 730PM",4597
50185037,"NBA $10K Quarter Jukebox [Just $0.25!]",2017-11-30,20,"$0.25","Thu 730PM",47562
50188588,"NBA $3K Quarter Jukebox [Just $0.25!] (Night)",2017-11-30,20,"$0.25","Thu 1000PM",14268
50188595,"NBA $2K Layup (Night)",2017-11-30,20,"$2.00","Thu 1000PM",1189
50185200,"NBA SUPERSatellite to $3.15M Fantasy Football Millionaire [30x]",2017-11-30,20,"$0.25","Thu 730PM",2853
50271396,"NBA $475K Excellent 8’s [$50K to 1st!]",2017-12-01,150,"$8.00","Fri 700PM",69852
50271391,"NBA $225K Triple Threat",2017-12-01,150,"$33.00","Fri 700PM",7951
50271399,"NBA $130K Sharpshooter [20 Entry Max]",2017-12-01,20,"$3.00","Fri 700PM",51525
50247103,"NBA GIANT $5 Double Up",2017-12-01,100,"$5.00","Fri 700PM",6896
50247109,"NBA GIANT $25 Double Up",2017-12-01,62,"$25.00","Fri 700PM",2068
50247105,"NBA GIANT $10 Double Up",2017-12-01,86,"$10.00","Fri 700PM",2873
50271390,"NBA $35K And-One [20 Entry Max]",2017-12-01,20,"$1.00","Fri 700PM",41617
50247114,"NBA $2 Double Up",2017-12-01,20,"$2.00","Fri 700PM",5747
50247102,"NBA GIANT $5 Double Up",2017-12-01,100,"$5.00","Fri 700PM",5747
50247120,"NBA $10K Dunk [20 Entry Max]",2017-12-01,20,"$3.00","Fri 700PM",3963
50247118,"NBA $10K Quarter Jukebox [Just $0.25!]",2017-12-01,20,"$0.25","Fri 700PM",47562
50252013,"NBA $6K And-One (Night)",2017-12-01,20,"$1.00","Fri 800PM",7134
50252014,"NBA $3K Sharpshooter (Night)",2017-12-01,20,"$3.00","Fri 800PM",1189
50252012,"NBA $2K Layup (Night)",2017-12-01,20,"$2.00","Fri 800PM",1189
50252009,"NBA $2.5K Quarter Jukebox [Just $0.25!] (Night)",2017-12-01,20,"$0.25","Fri 800PM",11890
