TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
ARI,NO,@CHI,SF,LA,@DET,@PIT,BAL,@CLE,BYE,@SEA,CIN,@SF,@LA,MIN,@PHI,GB,SEA
ATL,PHI,@NYG,@DAL,HOU,WSH,@NO,@TEN,TB,@SF,BYE,IND,MIN,@TB,@CAR,@JAX,CAR,NO
BAL,@DEN,@OAK,CIN,@PIT,CLE,@SF,@ARI,SD,BYE,JAX,LA,@CLE,@MIA,SEA,KC,PIT,@CIN
BUF,IND,NE,@MIA,NYG,@TEN,CIN,@JAX,BYE,MIA,@NYJ,@NE,@KC,HOU,@PHI,@WSH,DAL,NYJ
CAR,@JAX,HOU,NO,@TB,BYE,@SEA,PHI,IND,GB,@TEN,WSH,@DAL,@NO,ATL,@NYG,@ATL,TB
CHI,GB,ARI,@SEA,OAK,@KC,@DET,BYE,MIN,@SD,@LA,DEN,@GB,SF,WSH,@MIN,@TB,DET
CIN,@OAK,SD,@BAL,KC,SEA,@BUF,BYE,@PIT,CLE,HOU,@ARI,LA,@CLE,PIT,@SF,@DEN,BAL
CLE,@NYJ,TEN,OAK,@SD,@BAL,DEN,@LA,ARI,@CIN,@PIT,BYE,BAL,CIN,SF,@SEA,@KC,PIT
DAL,NYG,@PHI,ATL,@NO,NE,BYE,@NYG,SEA,PHI,@TB,@MIA,CAR,@WSH,@GB,NYJ,@BUF,WSH
DEN,BAL,@KC,@DET,MIN,@OAK,@CLE,BYE,GB,@IND,KC,@CHI,NE,@SD,OAK,@PIT,CIN,SD
DET,@SD,@MIN,DEN,@SEA,ARI,CHI,MIN,@KC,BYE,@GB,OAK,PHI,GB,@LA,@NO,SF,@CHI
GB,@CHI,SEA,KC,@SF,LA,SD,BYE,@DEN,@CAR,DET,@MIN,CHI,@DET,DAL,@OAK,@ARI,MIN
HOU,KC,@CAR,TB,@ATL,IND,@JAX,@MIA,TEN,BYE,@CIN,NYJ,NO,@BUF,NE,@IND,@TEN,JAX
IND,@BUF,NYJ,@TEN,JAX,@HOU,NE,NO,@CAR,DEN,BYE,@ATL,TB,@PIT,@JAX,HOU,@MIA,TEN
JAX,CAR,MIA,@NE,@IND,@TB,HOU,BUF,BYE,@NYJ,@BAL,TEN,SD,@TEN,IND,ATL,@NO,@HOU
KC,@HOU,DEN,@GB,@CIN,CHI,@MIN,PIT,DET,BYE,@DEN,@SD,BUF,@OAK,SD,@BAL,CLE,OAK
LA,SEA,@WSH,PIT,@ARI,@GB,BYE,CLE,SF,@MIN,CHI,@BAL,@CIN,ARI,DET,TB,@SEA,@SF
MIA,@WSH,@JAX,BUF,NYJ,BYE,@TEN,HOU,@NE,@BUF,@PHI,DAL,@NYJ,BAL,NYG,@SD,IND,NE
MIN,@SF,DET,SD,@DEN,BYE,KC,@DET,@CHI,LA,@OAK,GB,@ATL,SEA,@ARI,CHI,NYG,@GB
NE,PIT,@BUF,JAX,BYE,@DAL,@IND,NYJ,MIA,WSH,@NYG,BUF,@DEN,PHI,@HOU,TEN,@NYJ,@MIA
NO,@ARI,TB,@CAR,DAL,@PHI,ATL,@IND,NYG,TEN,@WSH,BYE,@HOU,CAR,@TB,DET,JAX,@ATL
NYG,@DAL,ATL,WSH,@BUF,SF,@PHI,DAL,@NO,@TB,NE,BYE,@WSH,NYJ,@MIA,CAR,@MIN,PHI
NYJ,CLE,@IND,PHI,@MIA,BYE,WSH,@NE,@OAK,JAX,BUF,@HOU,MIA,@NYG,TEN,@DAL,NE,@BUF
OAK,CIN,BAL,@CLE,@CHI,DEN,BYE,@SD,NYJ,@PIT,MIN,@DET,@TEN,KC,@DEN,GB,SD,@KC
PHI,@ATL,DAL,@NYJ,@WSH,NO,NYG,@CAR,BYE,@DAL,MIA,TB,@DET,@NE,BUF,ARI,WSH,@NYG
PIT,@NE,SF,@LA,BAL,@SD,ARI,@KC,CIN,OAK,CLE,BYE,@SEA,IND,@CIN,DEN,@BAL,@CLE
SD,DET,@CIN,@MIN,CLE,PIT,@GB,OAK,@BAL,CHI,BYE,KC,@JAX,DEN,@KC,MIA,@OAK,@DEN
SF,MIN,@PIT,@ARI,GB,@NYG,BAL,SEA,@LA,ATL,BYE,@SEA,ARI,@CHI,@CLE,CIN,@DET,LA
SEA,@LA,@GB,CHI,DET,@CIN,CAR,@SF,@DAL,BYE,ARI,SF,PIT,@MIN,@BAL,CLE,LA,@ARI
TB,TEN,@NO,@HOU,CAR,JAX,BYE,@WSH,@ATL,NYG,DAL,@PHI,@IND,ATL,NO,@LA,CHI,@CAR
TEN,@TB,@CLE,IND,BYE,BUF,MIA,ATL,@HOU,@NO,CAR,@JAX,OAK,JAX,@NYJ,@NE,HOU,@IND
WSH,MIA,LA,@NYG,PHI,@ATL,@NYJ,TB,BYE,@NE,NO,@CAR,NYG,DAL,@CHI,BUF,@PHI,@DAL
