"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PF/C","Kristaps Porzingis",8200,"MIA@NY 11/29/2017 07:30PM ET",43.208,"NY","MIA",0,0,0
"C","Hassan Whiteside",8000,"MIA@NY 11/29/2017 07:30PM ET",37.054,"MIA","NY",0,0,0
"SG/SF","DeMar DeRozan",7900,"CHA@TOR 11/29/2017 07:30PM ET",37.237,"TOR","CHA",39.14,37,43.5
"PG","Kyle Lowry",7800,"CHA@TOR 11/29/2017 07:30PM ET",37.053,"TOR","CHA",39.64,38.6,55.75
"PG","Goran Dragic",7600,"MIA@NY 11/29/2017 07:30PM ET",33.039,"MIA","NY",34.91,33.3,13
"PG","Kemba Walker",7500,"CHA@TOR 11/29/2017 07:30PM ET",38.289,"CHA","TOR",0,0,0
"C","Dwight Howard",7100,"CHA@TOR 11/29/2017 07:30PM ET",35.605,"CHA","TOR",37.72,34.2,42
"SG/SF","Tim Hardaway",6500,"MIA@NY 11/29/2017 07:30PM ET",31.975,"NY","MIA",0,0,0
"SG/SF","Dion Waiters",6400,"MIA@NY 11/29/2017 07:30PM ET",25.971,"MIA","NY",31.44,29.8,27.25
"PF","James Johnson",6100,"MIA@NY 11/29/2017 07:30PM ET",27.889,"MIA","NY",29.67,28.2,17.5
"PF/C","Enes Kanter",5800,"MIA@NY 11/29/2017 07:30PM ET",30.426,"NY","MIA",0,0,0
"SG/SF","Nicolas Batum",5800,"CHA@TOR 11/29/2017 07:30PM ET",22.083,"CHA","TOR",32.74,30.4,19.75
"SG/SF","Jeremy Lamb",5500,"CHA@TOR 11/29/2017 07:30PM ET",30.355,"CHA","TOR",25.45,24.2,30.75
"SG/SF","Courtney Lee",4800,"MIA@NY 11/29/2017 07:30PM ET",24.813,"NY","MIA",0,0,0
"PF/C","Serge Ibaka",4700,"CHA@TOR 11/29/2017 07:30PM ET",22.853,"TOR","CHA",23.8,23.1,22.5
"C","Jonas Valanciunas",4600,"CHA@TOR 11/29/2017 07:30PM ET",21.283,"TOR","CHA",18.45,18.2,20.25
"PF/C","Kyle O'Quinn",4500,"MIA@NY 11/29/2017 07:30PM ET",19.863,"NY","MIA",0,0,0
"SG/SF","Josh Richardson",4400,"MIA@NY 11/29/2017 07:30PM ET",18.5,"MIA","NY",22.55,19.6,26.25
"PG/SG","Tyler Johnson",4300,"MIA@NY 11/29/2017 07:30PM ET",20.028,"MIA","NY",21.29,21.1,24.25
"PF/C","Kelly Olynyk",4200,"MIA@NY 11/29/2017 07:30PM ET",20.066,"MIA","NY",20.89,22.5,28.75
"SG/SF","CJ Miles",4200,"CHA@TOR 11/29/2017 07:30PM ET",17.313,"TOR","CHA",16.89,16.4,11
"PG","Michael Carter-Williams",4200,"CHA@TOR 11/29/2017 07:30PM ET",14.25,"CHA","TOR",24.91,23.9,21.5
"PG","Jarrett Jack",4100,"MIA@NY 11/29/2017 07:30PM ET",19.278,"NY","MIA",0,0,0
"SF/PF","Justise Winslow",4000,"MIA@NY 11/29/2017 07:30PM ET",18.421,"MIA","NY",15.81,15.3,16.75
"SF","Michael Kidd-Gilchrist",4000,"CHA@TOR 11/29/2017 07:30PM ET",17.25,"CHA","TOR",21.88,21.4,14.75
"SG/SF","Norman Powell",4000,"CHA@TOR 11/29/2017 07:30PM ET",18.217,"TOR","CHA",20.12,18.3,15.5
"SG/SF","Wayne Ellington",3900,"MIA@NY 11/29/2017 07:30PM ET",14.421,"MIA","NY",15.48,16.2,8.75
