"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"LeBron James","SF/PFSFPF","CLE","@ ATL","26th",112,11700,40.6,90.8,56.2,1.54,30.5,19.1,36.6,36,62.1,62.1,"%",74,5.3,37,59,5
"Giannis Antetokounmpo","SF/PFSFPF","MIL","@ POR","13th",98.5,11100,40.9,66.6,55.2,1.5,34.6,20.2,36.7,38,51.87,51.87,"%",87,4.7,36,50.75,4.6
"Ben Simmons","PG/SFPGSF","PHI","@ BOS","4th",101.5,9300,31.2,64.6,46.8,1.34,25.5,15.2,34.9,39.5,45.5,45.5,"%",80,4.9,39,40.5,4.4
"Nikola Jokic","C","DEN","vs CHI","25th",109.75,9100,32.2,81.6,40.9,1.39,22.5,11.7,29.5,34.3,53.34,53.34,"%",65,5.9,15,19,2.1
"Damian Lillard","PG","POR","vs MIL","6th",102.5,8500,27,61.7,44.4,1.24,31.1,19.1,35.8,36.57,41.87,41.87,"%",78,4.9,39,35.75,4.2
"Kyrie Irving","PG","BOS","vs PHI","18th",109.5,8400,23.3,65.4,38.5,1.24,31.8,17.5,31.1,32.5,41.31,41.31,"%",69,4.9,32,47,5.6
"Kevin Love","PF/CPFC","CLE","@ ATL","23rd",112,8000,23.2,66.2,37.3,1.29,26.5,12.8,29,31,41.63,41.63,"%",67,5.2,33,49,6.1
"Dennis Schroder","PG","ATL","vs CLE","24th",105,7500,26.2,53.3,35,1.11,30.2,17.1,31.6,34,37.77,37.77,"%",78,5,32,36.5,4.9
"Louis Williams","PG/SGPGSG","LAC","vs UTA","1st",100.75,7300,15.6,59.7,30.1,1.06,28.2,13.7,28.4,36,34.52,34.52,"%",58,4.7,36,34.5,4.7
"DeAndre Jordan","C","LAC","vs UTA","1st",100.75,7100,11.1,49.9,31.6,0.99,12.9,6.5,31.9,36,27.72,27.72,"%",65,3.9,30,31,4.4
"Donovan Mitchell","PG/SGPGSG","UTA","@ LAC","27th",101.75,6900,20.4,57.8,27.2,0.98,28.3,14.3,27.7,35.7,36.43,36.43,"%",61,5.3,36,36.5,5.3
"Eric Bledsoe","PG/SGPGSG","MIL","@ POR","11th",98.5,6800,16.2,56.3,31.7,1.09,27.5,13.5,29.2,33,33.4,33.4,"%",64,4.9,28,37.75,5.6
"Al Horford","PF/CPFC","BOS","vs PHI","12th",109.5,6800,21.4,43.6,34.2,1.07,18.4,9.9,32,32,30.94,30.94,"%",81,4.6,34,42.5,6.3
"Jusuf Nurkic","C","POR","vs MIL","29th",102.5,6700,19,61,30.6,1.11,29.3,13.6,27.5,29.39,37,37,"%",61,5.5,31,46.75,7
"C.J. McCollum","PG/SGPGSG","POR","vs MIL","29th",102.5,6700,23.9,51.7,33.9,0.94,25.5,17.3,35.9,36.43,35.77,35.77,"%",77,5.3,40,31.5,4.7
"Derrick Favors","PF/CPFC","UTA","@ LAC","17th",101.75,6600,13.7,53.1,26.5,0.97,20.6,9.8,27.4,29.11,30.59,30.59,"%",58,4.6,27,35.5,5.4
"Will Barton","SG/SFSGSF","DEN","vs CHI","14th",109.75,6500,10.3,47.9,27.8,0.97,21.4,11.4,28.8,28.37,26.41,26.41,"%",61,4.1,35,51.5,7.9
"Khris Middleton","SG/SFSGSF","MIL","@ POR","2nd",98.5,6500,11.9,61.3,34.9,0.96,25.2,15.9,36.3,36,33.08,33.08,"%",60,5.1,35,43.75,6.7
"Lauri Markkanen","PF","CHI","@ DEN","29th",99.75,6400,24.7,53.9,30.1,1,21.6,12.5,30.1,30,37.2,37.2,"%",72,5.8,31,33.25,5.2
"Robert Covington","SF/PFSFPF","PHI","@ BOS","8th",101.5,6200,10.6,46.3,30.5,0.98,18.6,11.2,31,29.1,25.87,25.87,"%",67,4.2,31,20.25,3.3
"Jaylen Brown","SG/SFSGSF","BOS","vs PHI","28th",109.5,6100,21.4,45,28.5,0.9,21.5,12.2,31.7,31.33,31.55,31.55,"%",76,5.2,21,8.75,1.4
"Kris Dunn","PG/SGPGSG","CHI","@ DEN","21st",99.75,6000,13.4,50,27,1.02,26,11.7,26.5,27.54,29.11,29.11,"%",61,4.9,26,34.75,5.8
"Jayson Tatum","SF/PFSFPF","BOS","vs PHI","28th",109.5,5900,17.5,45.7,26.2,0.87,18.4,9.2,30.1,31.96,29.59,29.59,"%",69,5,27,25.5,4.3
"Denzel Valentine","SG/SFSGSF","CHI","@ DEN","14th",99.75,5800,12.8,45.6,24.4,0.87,18.5,10.2,28.1,32.25,26.86,26.86,"%",62,4.6,39,23.75,4.1
"Justin Holiday","SG/SFSGSF","CHI","@ DEN","14th",99.75,5800,12.3,42.2,27.8,0.82,21.2,13.9,33.7,33.61,25.11,25.11,"%",69,4.3,37,26.25,4.5
