"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG/SG","Stephen Curry",9600,"GS@LAL 11/29/2017 10:30PM ET",46.355,"GS","LAL",50.26,49.3,43.75
"SF/PF","Kevin Durant",9300,"GS@LAL 11/29/2017 10:30PM ET",45.719,"GS","LAL",46.35,48.6,47.75
"C","Marc Gasol",8300,"MEM@SA 11/29/2017 08:30PM ET",40.921,"MEM","SA",42.17,40.1,27
"SF/PF","Kawhi Leonard",8200,"MEM@SA 11/29/2017 08:30PM ET",0,"SA","MEM",0,0,0
"PF/C","LaMarcus Aldridge",8100,"MEM@SA 11/29/2017 08:30PM ET",40.075,"SA","MEM",37.16,38.6,53
"SG","Klay Thompson",7400,"GS@LAL 11/29/2017 10:30PM ET",33.452,"GS","LAL",33.88,35,28.75
"PF/C","Draymond Green",7300,"GS@LAL 11/29/2017 10:30PM ET",34.075,"GS","LAL",35.43,37,50.25
"PG","D'Angelo Russell",7200,"BKN@DAL 11/29/2017 08:30PM ET",36.458,"BKN","DAL",0,0,0
"PG/SG","Spencer Dinwiddie",6900,"BKN@DAL 11/29/2017 08:30PM ET",26.3,"BKN","DAL",33.3,33.6,34.25
"PG","Lonzo Ball",6800,"GS@LAL 11/29/2017 10:30PM ET",32.85,"LAL","GS",30.69,33.5,36.5
"SG/SF","Tyreke Evans",6600,"MEM@SA 11/29/2017 08:30PM ET",32.066,"MEM","SA",35.92,33,32.75
"PG","Mike Conley",6500,"MEM@SA 11/29/2017 08:30PM ET",28.771,"MEM","SA",0,0,0
"PF/C","Pau Gasol",6200,"MEM@SA 11/29/2017 08:30PM ET",30.038,"SA","MEM",27.65,29,19
"SF/PF","Harrison Barnes",6100,"BKN@DAL 11/29/2017 08:30PM ET",32.25,"DAL","BKN",35.64,35.1,39.5
"SF/PF","Kyle Kuzma",6000,"GS@LAL 11/29/2017 10:30PM ET",27.95,"LAL","GS",21.52,0,0
"SG/SF","Brandon Ingram",6000,"GS@LAL 11/29/2017 10:30PM ET",28.5,"LAL","GS",26.69,29.9,50.25
"SF/PF","Rondae Hollis-Jefferson",6000,"BKN@DAL 11/29/2017 08:30PM ET",26.583,"BKN","DAL",0,0,0
"SG","Kentavious Caldwell-Pope",5800,"GS@LAL 11/29/2017 10:30PM ET",28.444,"LAL","GS",28.97,28.9,31.75
"SF/PF","DeMarre Carroll",5800,"BKN@DAL 11/29/2017 08:30PM ET",28.486,"BKN","DAL",31.26,27.9,33.25
"PG","Mario Chalmers",5700,"MEM@SA 11/29/2017 08:30PM ET",20.829,"MEM","SA",0,0,0
"PG/SG","Dennis Smith",5600,"BKN@DAL 11/29/2017 08:30PM ET",27.618,"DAL","BKN",29.61,30.5,16
"SF/PF","Larry Nance",5400,"GS@LAL 11/29/2017 10:30PM ET",25.667,"LAL","GS",27.04,29,22.5
"PG/SF","Kyle Anderson",5300,"MEM@SA 11/29/2017 08:30PM ET",25.425,"SA","MEM",25.71,25.3,25.5
"C","Brook Lopez",5200,"GS@LAL 11/29/2017 10:30PM ET",26.638,"LAL","GS",20.85,26.5,11.75
"PF/C","Julius Randle",5100,"GS@LAL 11/29/2017 10:30PM ET",24.763,"LAL","GS",24.76,30.6,29.5
"PF/C","Trevor Booker",4900,"BKN@DAL 11/29/2017 08:30PM ET",22.833,"BKN","DAL",25.89,26.5,31.5
"SG/SF","Allen Crabbe",4900,"BKN@DAL 11/29/2017 08:30PM ET",22.139,"BKN","DAL",0,0,0
"SF/PF","Rudy Gay",4900,"MEM@SA 11/29/2017 08:30PM ET",23.211,"SA","MEM",20.35,19.5,20.25
"PG/SG","Jordan Clarkson",4800,"GS@LAL 11/29/2017 10:30PM ET",23.863,"LAL","GS",24.72,24,41
"PF/C","Dirk Nowitzki",4800,"BKN@DAL 11/29/2017 08:30PM ET",22.976,"DAL","BKN",26.03,26.4,21.25
"PG/SG","JJ Barea",4600,"BKN@DAL 11/29/2017 08:30PM ET",24.488,"DAL","BKN",24.94,24.7,0
"SG/SF","Wesley Matthews",4600,"BKN@DAL 11/29/2017 08:30PM ET",23.429,"DAL","BKN",27.86,25.9,15.25
"SG/SF","Caris LeVert",4600,"BKN@DAL 11/29/2017 08:30PM ET",22.488,"BKN","DAL",28.45,25.1,31
"SG/SF","Danny Green",4500,"MEM@SA 11/29/2017 08:30PM ET",23.145,"SA","MEM",20.2,21.9,17
"SF/PF","JaMychal Green",4400,"MEM@SA 11/29/2017 08:30PM ET",19.357,"MEM","SA",24.73,24.2,23.5
"SG/SF","Joe Harris",4300,"BKN@DAL 11/29/2017 08:30PM ET",18.092,"BKN","DAL",21.41,22.9,19.5
"PG","Patty Mills",4200,"MEM@SA 11/29/2017 08:30PM ET",19.513,"SA","MEM",19.37,21.3,0
"SF/PF","Omri Casspi",4000,"GS@LAL 11/29/2017 10:30PM ET",13.958,"GS","LAL",8.09,0,0
"PG","Tony Parker",4000,"MEM@SA 11/29/2017 08:30PM ET",12,"SA","MEM",12.23,12.1,19.5
"SF/PF","Chandler Parsons",4000,"MEM@SA 11/29/2017 08:30PM ET",16.882,"MEM","SA",0,0,0
"SG/SF","Andre Iguodala",3900,"GS@LAL 11/29/2017 10:30PM ET",17.382,"GS","LAL",16.39,17.8,16
"PG/SG","Seth Curry",3900,"BKN@DAL 11/29/2017 08:30PM ET",0,"DAL","BKN",0,0,0
"SG/SF","Dillon Brooks",3900,"MEM@SA 11/29/2017 08:30PM ET",18.145,"MEM","SA",18.63,19.3,13
"PG/SG","Yogi Ferrell",3800,"BKN@DAL 11/29/2017 08:30PM ET",17.214,"DAL","BKN",15.74,15.2,17.75
"PG","Dejounte Murray",3800,"MEM@SA 11/29/2017 08:30PM ET",18.838,"SA","MEM",4.33,0,3
"PG/SG","Shaun Livingston",3700,"GS@LAL 11/29/2017 10:30PM ET",11.763,"GS","LAL",10.55,11.2,7.25
"PG/SG","Devin Harris",3700,"BKN@DAL 11/29/2017 08:30PM ET",15.6,"DAL","BKN",16.1,16.8,21.5
"SG/SF","Manu Ginobili",3700,"MEM@SA 11/29/2017 08:30PM ET",14.985,"SA","MEM",15.49,15,10.25
"PG/SG","Bryn Forbes",3700,"MEM@SA 11/29/2017 08:30PM ET",10.25,"SA","MEM",10.17,10.2,10.75
"SG/SF","Patrick McCaw",3600,"GS@LAL 11/29/2017 10:30PM ET",8.958,"GS","LAL",6.09,0,0
"PG/SG","Sean Kilpatrick",3600,"BKN@DAL 11/29/2017 08:30PM ET",9.327,"BKN","DAL",18.73,19.7,9.25
"SG","Brandon Paul",3600,"MEM@SA 11/29/2017 08:30PM ET",9.014,"SA","MEM",2.19,0,0
"SG/SF","James Ennis III",3600,"MEM@SA 11/29/2017 08:30PM ET",14.958,"MEM","SA",0,13.5,0
"PF/C","David West",3500,"GS@LAL 11/29/2017 10:30PM ET",15.963,"GS","LAL",0,0,0
"PF/C","Dwight Powell",3500,"BKN@DAL 11/29/2017 08:30PM ET",14.563,"DAL","BKN",16.59,16.4,30.75
"PG/SG","Isaiah Whitehead",3500,"BKN@DAL 11/29/2017 08:30PM ET",13.167,"BKN","DAL",12.27,0,9.25
"SG/SF","Ben McLemore",3500,"MEM@SA 11/29/2017 08:30PM ET",11.156,"MEM","SA",16.05,18.5,17.75
"C","Ivica Zubac",3400,"GS@LAL 11/29/2017 10:30PM ET",1.6,"LAL","GS",0,0,0
"C","Tyler Zeller",3400,"BKN@DAL 11/29/2017 08:30PM ET",14.938,"BKN","DAL",14.62,15.6,26.25
"PF/C","Jarrett Allen",3400,"BKN@DAL 11/29/2017 08:30PM ET",11.896,"BKN","DAL",13.05,14.4,15.5
"PF/C","Jarell Martin",3400,"MEM@SA 11/29/2017 08:30PM ET",12.278,"MEM","SA",11.35,10.3,9.5
"PG/SG","Andrew Harrison",3400,"MEM@SA 11/29/2017 08:30PM ET",8.808,"MEM","SA",17.02,13.7,24
"SG","Nick Young",3300,"GS@LAL 11/29/2017 10:30PM ET",11.213,"GS","LAL",8.3,10.1,11.5
"PF/C","Quincy Acy",3300,"BKN@DAL 11/29/2017 08:30PM ET",13.117,"BKN","DAL",10.66,12.3,13.75
"PF/C","Brandan Wright",3300,"MEM@SA 11/29/2017 08:30PM ET",13.983,"MEM","SA",0,0,0
"PF/C","Jordan Bell",3200,"GS@LAL 11/29/2017 10:30PM ET",10.767,"GS","LAL",11.05,0,15.5
"C","Timofey Mozgov",3200,"BKN@DAL 11/29/2017 08:30PM ET",11.703,"BKN","DAL",6.4,0,0
"C","Nerlens Noel",3200,"BKN@DAL 11/29/2017 08:30PM ET",12.132,"DAL","BKN",0,0,0
"PF","Maxi Kleber",3200,"BKN@DAL 11/29/2017 08:30PM ET",8.117,"DAL","BKN",10.19,10.5,27.25
"PF/C","Deyonta Davis",3200,"MEM@SA 11/29/2017 08:30PM ET",10.536,"MEM","SA",0,10.9,4.5
"C","Zaza Pachulia",3100,"GS@LAL 11/29/2017 10:30PM ET",14.25,"GS","LAL",15.7,15.2,23
"C","Salah Mejri",3100,"BKN@DAL 11/29/2017 08:30PM ET",14.734,"DAL","BKN",14.21,14.5,2.5
"SF/PF","Luol Deng",3000,"GS@LAL 11/29/2017 10:30PM ET",5,"LAL","GS",0,0,0
"C","Andrew Bogut",3000,"GS@LAL 11/29/2017 10:30PM ET",7.404,"LAL","GS",3.75,0,6
"SG/SF","Corey Brewer",3000,"GS@LAL 11/29/2017 10:30PM ET",8.1,"LAL","GS",5.59,0,3.5
"C","JaVale McGee",3000,"GS@LAL 11/29/2017 10:30PM ET",9.092,"GS","LAL",11.59,12.8,0
"PG/SG","Vander Blue",3000,"GS@LAL 11/29/2017 10:30PM ET",0.938,"LAL","GS",0,0,0
"PG","Quinn Cook",3000,"GS@LAL 11/29/2017 10:30PM ET",5.167,"GS","LAL",0,0,0
"PG/SG","Alex Caruso",3000,"GS@LAL 11/29/2017 10:30PM ET",4.75,"LAL","GS",0,0,0
"PG/SG","Josh Hart",3000,"GS@LAL 11/29/2017 10:30PM ET",7.8,"LAL","GS",7.46,9.3,9.25
"C","Damian Jones",3000,"GS@LAL 11/29/2017 10:30PM ET",0,"GS","LAL",0,0,0
"PG/SG","Tyler Ennis",3000,"GS@LAL 11/29/2017 10:30PM ET",4.725,"LAL","GS",0,0,0
"SF/PF","Kevon Looney",3000,"GS@LAL 11/29/2017 10:30PM ET",10.482,"GS","LAL",6.13,0,11
"PF/C","Thomas Bryant",3000,"GS@LAL 11/29/2017 10:30PM ET",0,"LAL","GS",0,0,0
"PF","Chris Boucher",3000,"GS@LAL 11/29/2017 10:30PM ET",0,"GS","LAL",0,0,0
"PF/C","Josh McRoberts",3000,"BKN@DAL 11/29/2017 08:30PM ET",0,"DAL","BKN",0,0,0
"PG/SG","Jeremy Lin",3000,"BKN@DAL 11/29/2017 08:30PM ET",23,"BKN","DAL",0,0,0
"C","Jeff Withey",3000,"BKN@DAL 11/29/2017 08:30PM ET",3.464,"DAL","BKN",0,0,0
"SF","Dorian Finney-Smith",3000,"BKN@DAL 11/29/2017 08:30PM ET",5.875,"DAL","BKN",0,0,0
"PF/C","Johnathan Motley",3000,"BKN@DAL 11/29/2017 08:30PM ET",0,"DAL","BKN",0,0,0
"SG","Antonius Cleveland",3000,"BKN@DAL 11/29/2017 08:30PM ET",2.625,"DAL","BKN",0,0,0
"PG","Jacob Wiley",3000,"BKN@DAL 11/29/2017 08:30PM ET",5.813,"BKN","DAL",0,0,0
"SG","Yakuba Ouattara",3000,"BKN@DAL 11/29/2017 08:30PM ET",0,"BKN","DAL",0,0,0
"SF/PF","Davis Bertans",3000,"MEM@SA 11/29/2017 08:30PM ET",5.733,"SA","MEM",3.26,0,0
"SG/SF","Darrun Hilliard",3000,"MEM@SA 11/29/2017 08:30PM ET",2.167,"SA","MEM",0,0,0
"PF","Matt Costello",3000,"MEM@SA 11/29/2017 08:30PM ET",12.25,"SA","MEM",0,0,0
"PF/C","Joffrey Lauvergne",3000,"MEM@SA 11/29/2017 08:30PM ET",8.55,"SA","MEM",6.83,0,0
"PF","Vince Hunter",3000,"MEM@SA 11/29/2017 08:30PM ET",0,"MEM","SA",0,0,0
"PG/SG","Wayne Selden",3000,"MEM@SA 11/29/2017 08:30PM ET",8.25,"MEM","SA",0,0,0
"PG/SG","Derrick White",3000,"MEM@SA 11/29/2017 08:30PM ET",5.167,"SA","MEM",0,0,0
"PF/C","Ivan Rabb",3000,"MEM@SA 11/29/2017 08:30PM ET",0,"MEM","SA",0,0,0
"SG","Kobi Simmons",3000,"MEM@SA 11/29/2017 08:30PM ET",0,"MEM","SA",0,0,0
