"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SF/PF","Giannis Antetokounmpo",11200,"MIL@SAC 11/28/2017 10:00PM ET",55.118,"MIL","SAC",59.16,54.7,57.25
"C","Nikola Jokic",8700,"DEN@UTA 11/28/2017 10:00PM ET",41.658,"DEN","UTA",46.36,44.4,27
"C","Rudy Gobert",7500,"DEN@UTA 11/28/2017 10:00PM ET",35.042,"UTA","DEN",0,0,0
"PG/SG","Eric Bledsoe",6600,"MIL@SAC 11/28/2017 10:00PM ET",30.932,"MIL","SAC",31.8,33.3,42.25
"SG/SF","Khris Middleton",6600,"MIL@SAC 11/28/2017 10:00PM ET",35.611,"MIL","SAC",33.75,32.7,22
"PF/C","Paul Millsap",6500,"DEN@UTA 11/28/2017 10:00PM ET",31.828,"DEN","UTA",0,0,0
"PG/SG","Donovan Mitchell",6500,"DEN@UTA 11/28/2017 10:00PM ET",27.263,"UTA","DEN",33.4,36.1,26.75
"PF/C","Derrick Favors",6300,"DEN@UTA 11/28/2017 10:00PM ET",25.275,"UTA","DEN",30.93,30.5,50.25
"SG/SF","Will Barton",6300,"DEN@UTA 11/28/2017 10:00PM ET",28.539,"DEN","UTA",32.87,29.5,14.5
"SG/SF","Rodney Hood",5700,"DEN@UTA 11/28/2017 10:00PM ET",25.986,"UTA","DEN",29.59,0,0
"PF/C","Zach Randolph",5500,"MIL@SAC 11/28/2017 10:00PM ET",25.265,"SAC","MIL",24.19,25.1,18.75
"PG","Ricky Rubio",5400,"DEN@UTA 11/28/2017 10:00PM ET",27.776,"UTA","DEN",29.68,31.2,30
"SG","Gary Harris",5200,"DEN@UTA 11/28/2017 10:00PM ET",26.147,"DEN","UTA",30.1,28,26.25
"PG/SG","Jamal Murray",5100,"DEN@UTA 11/28/2017 10:00PM ET",22.908,"DEN","UTA",24.09,23.2,14.75
"PF/C","Willie Cauley-Stein",5100,"MIL@SAC 11/28/2017 10:00PM ET",23.711,"SAC","MIL",28.69,27.3,23.5
"SF/PF","Jabari Parker",5100,"MIL@SAC 11/28/2017 10:00PM ET",0,"MIL","SAC",0,0,0
"PG/SG","Malcolm Brogdon",5000,"MIL@SAC 11/28/2017 10:00PM ET",24.971,"MIL","SAC",24.14,22.9,25.5
"SF/PF","Wilson Chandler",4800,"DEN@UTA 11/28/2017 10:00PM ET",19.792,"DEN","UTA",0,0,0
"SG/SF","Joe Ingles",4800,"DEN@UTA 11/28/2017 10:00PM ET",24.688,"UTA","DEN",25.27,28.4,18
"C","John Henson",4700,"MIL@SAC 11/28/2017 10:00PM ET",20.912,"MIL","SAC",23.35,23.3,22.25
"SG/SF","Buddy Hield",4500,"MIL@SAC 11/28/2017 10:00PM ET",22.985,"SAC","MIL",20.12,19.7,17.5
"PG","De'Aaron Fox",4500,"MIL@SAC 11/28/2017 10:00PM ET",22.408,"SAC","MIL",19.83,20.7,7.25
"PG","Emmanuel Mudiay",4100,"DEN@UTA 11/28/2017 10:00PM ET",19.895,"DEN","UTA",17.39,15,15.75
"PG/SG","George Hill",4100,"MIL@SAC 11/28/2017 10:00PM ET",18.824,"SAC","MIL",18.32,20.1,7.5
"SG/SF","Thabo Sefolosha",3900,"DEN@UTA 11/28/2017 10:00PM ET",17.75,"UTA","DEN",19,16.9,11.25
