FirstName,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,Projection_dfn_perturbed,Projection_fc,Salary,Team,TierRank
Julio,TB@Atl 01:00PM ET,7147473,Jones,Julio Jones,Julio Jones (7147473),TB,WR,27.81,24.9,24.9,25.43,9400,ATL,1.0
Odell,NYG@Dal 04:25PM ET,7147717,Beckham,Odell Beckham,Odell Beckham (7147717),DAL,WR,22.51,21.0,21.0,24.72,9300,NYG,2.0
DeAndre,Chi@Hou 01:00PM ET,7147645,Hopkins,DeAndre Hopkins,DeAndre Hopkins (7147645),CHI,WR,22.49,20.5,20.5,23.06,8800,HOU,2.0
Aaron,GB@Jax 01:00PM ET,7147242,Rodgers,Aaron Rodgers,Aaron Rodgers (7147242),JAX,QB,23.19,22.3,22.3,23.69,8500,GB,2.0
Dez,NYG@Dal 04:25PM ET,7147707,Bryant,Dez Bryant,Dez Bryant (7147707),NYG,WR,17.95,19.0,19.0,22.94,8500,DAL,3.0
A.J.,Cin@NYJ 01:00PM ET,7147544,Green,A.J. Green,A.J. Green (7147544),NYJ,WR,19.1,18.0,18.0,21.14,8400,CIN,3.0
Andrew,Det@Ind 04:25PM ET,7147267,Luck,Andrew Luck,Andrew Luck (7147267),DET,QB,21.57,24.2,24.2,22.87,8300,IND,1.0
Allen,GB@Jax 01:00PM ET,7147675,Robinson,Allen Robinson,Allen Robinson (7147675),GB,WR,18.72,16.5,16.5,21.74,8300,JAX,3.0
Drew,Oak@NO 01:00PM ET,7147213,Brees,Drew Brees,Drew Brees (7147213),OAK,QB,24.75,20.8,20.8,23.09,8100,NO,3.0
Keenan,SD@KC 01:00PM ET,7147597,Allen,Keenan Allen,Keenan Allen (7147597),KC,WR,17.39,0.0,0.0,17.46,8000,SD,0.0
Russell,Mia@Sea 04:05PM ET,7147252,Wilson,Russell Wilson,Russell Wilson (7147252),MIA,QB,21.57,22.9,22.9,23.29,7900,SEA,2.0
Alshon,Chi@Hou 01:00PM ET,7147639,Jeffery,Alshon Jeffery,Alshon Jeffery (7147639),HOU,WR,17.28,17.2,17.2,18.32,7900,CHI,3.0
Brandon,Cin@NYJ 01:00PM ET,7147538,Marshall,Brandon Marshall,Brandon Marshall (7147538),CIN,WR,18.93,18.2,18.2,19.88,7800,NYJ,3.0
Jordy,GB@Jax 01:00PM ET,7147658,Nelson,Jordy Nelson,Jordy Nelson (7147658),JAX,WR,18.78,14.4,14.4,18.98,7700,GB,4.0
Brandin,Oak@NO 01:00PM ET,7147574,Cooks,Brandin Cooks,Brandin Cooks (7147574),OAK,WR,16.81,16.1,16.1,17.51,7700,NO,3.0
Adrian,Min@Ten 01:00PM ET,7147291,Peterson,Adrian Peterson,Adrian Peterson (7147291),TEN,RB,18.29,15.3,15.3,20.47,7600,MIN,2.0
Randall,GB@Jax 01:00PM ET,7147661,Cobb,Randall Cobb,Randall Cobb (7147661),JAX,WR,17.1,16.7,16.7,17.07,7600,GB,3.0
Eli,NYG@Dal 04:25PM ET,7147258,Manning,Eli Manning,Eli Manning (7147258),DAL,QB,18.71,20.7,20.7,20.49,7500,NYG,3.0
T.Y.,Det@Ind 04:25PM ET,7147734,Hilton,T.Y. Hilton,T.Y. Hilton (7147734),DET,WR,15.98,16.4,16.4,17.48,7500,IND,3.0
David,NE@Ari 08:30PM ET,7147465,Johnson,David Johnson,David Johnson (7147465),NE,RB,18.71,16.9,16.9,21.08,7500,ARI,1.0
Tom,NE@Ari 08:30PM ET,7147270,Brady,Tom Brady,Tom Brady (7147270),ARI,QB,0.0,0.0,0.0,0.0,7400,NE,0.0
Rob,NE@Ari 08:30PM ET,7147931,Gronkowski,Rob Gronkowski,Rob Gronkowski (7147931),ARI,TE,0.0,0.0,0.0,0.0,7400,NE,0.0
Mike,TB@Atl 01:00PM ET,7147483,Evans,Mike Evans,Mike Evans (7147483),ATL,WR,18.54,17.4,17.4,21.48,7400,TB,3.0
